angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
3.980073,J030331.86+455252.2,45.882765,+45.881179,1.202,1.071,121,17.133,16.898,12.535,9.209,,,,0.183,,,,,,,468145401241030216,0000,0,nnnn,BUUU,,45.8811766876807,5.0594460490748
4.063059,J030552.68+462817.2,46.469517,+46.471449,0.940,0.851,121,16.750,16.787,12.799,8.956,,,,0.150,0.452,,,,,,458146901241003572,0000,0,nnnn,BCUU,,46.4710511133172,4.8383837330591
1.451755,J030436.99+460916.8,46.154147,+46.154690,1.037,0.926,121,17.047,16.527,12.827,9.212,,,,0.172,0.354,,,,,,468145401241047626,0000,0,nnnn,BBUU,,46.1547264593837,5.0692323040516
1.979362,J030454.80+461344.6,46.228374,+46.229056,0.793,0.702,115,16.719,16.263,11.524,8.532,,,,0.158,0.315,0.167,,,,,458146901241003222,0000,0,nnnn,BBBU,,46.2291559429165,5.1744228737979
4.732804,J030657.56+464415.1,46.739845,+46.737542,0.135,0.131,136,14.093,14.146,12.656,9.153,14.519,14.174,14.244,0.029,0.052,,,0.030,0.042,0.060,458146901241018360,0000,0,00nn,AAUU,0.094,46.7384296044447,5.587501678912
3.934964,J030515.84+461855.0,46.316031,+46.315289,0.228,0.213,125,15.150,15.022,12.472,9.191,,,,0.042,0.098,,,,,,458146901241002746,0000,0,00nn,AAUU,,46.3146993195071,5.4081885304554
2.299339,J030347.80+455658.5,45.949175,+45.949585,0.082,0.079,19,11.622,11.635,12.117,8.866,11.892,11.722,11.667,0.024,0.023,0.310,,0.021,0.019,0.020,468145401241046508,0000,0,01nn,AABU,0.058,45.9499390589742,5.4760306753064
3.250421,J031020.00+473454.4,47.583370,+47.581799,0.367,0.337,127,15.768,16.460,12.819,9.263,16.369,15.856,15.886,0.061,0.320,,,0.123,0.148,0.239,480146901241048023,hh00,0,1nnn,ABUU,0.472,47.5824641913146,5.1140735635639
4.180553,J031129.48+475228.3,47.872841,+47.874548,0.191,0.183,124,14.787,14.583,12.242,8.745,16.636,15.659,15.285,0.038,0.069,,,0.153,0.125,0.138,472148401241002619,0000,0,01nn,AAUU,0.580,47.8745720326061,5.4685184594215
3.101618,J031149.30+475720.8,47.955446,+47.955798,0.149,0.141,114,13.987,14.055,12.066,9.036,14.809,14.258,14.068,0.031,0.052,,,0.038,0.044,0.044,472148401241000265,0000,0,11nn,AAUU,0.126,47.9563861130147,5.662861132563
