# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 13:39:13 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.00000 0.7500000000 2.3998889923    0.750  0.131  3.6347  3.673    0  0.000  0.538     0.00     0.00 -1 -2.89e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.443 7.789 6.368 5.175 4.389 3.765 2.917 2.208 2.105
0.0152 0.01508 6.00000 0.7839070559 2.4129633904    0.784  0.161  3.6385  3.677    0  0.000  0.538     0.00     0.00 -1 -3.02e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.367 7.624 6.240 5.062 4.287 3.684 2.850 2.153 2.052
0.0152 0.01508 6.00000 0.8000000119 2.4187245369    0.800  0.175  3.6403  3.679    0  0.000  0.538     0.00     0.00 -1 -3.08e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.332 7.547 6.181 5.010 4.241 3.647 2.820 2.129 2.029
0.0152 0.01508 6.00000 0.8314546943 2.4292480946    0.831  0.201  3.6436  3.683    0  0.000  0.538     0.00     0.00 -1 -3.19e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.267 7.403 6.073 4.916 4.159 3.578 2.764 2.083 1.986
0.0152 0.01508 6.00000 0.8500000238 2.4350347519    0.850  0.218  3.6455  3.684    0  0.000  0.538     0.00     0.00 -1 -3.28e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.226 7.315 6.006 4.859 4.108 3.535 2.728 2.053 1.958
0.0152 0.01508 6.00000 0.8720743656 2.4415550232    0.872  0.236  3.6476  3.685    0  0.000  0.538     0.00     0.00 -1 -3.37e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.181 7.219 5.934 4.795 4.052 3.488 2.689 2.021 1.926
0.0152 0.01508 6.00000 0.9000000358 2.4492788315    0.899  0.258  3.6503  3.688    0  0.000  0.538     0.00     0.00 -1 -3.48e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.126 7.098 5.843 4.717 3.983 3.430 2.641 1.982 1.889
0.0152 0.01508 6.00000 0.9043192267 2.4504244328    0.904  0.261  3.6507  3.688    0  0.000  0.538     0.00     0.00 -1 -3.49e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.118 7.081 5.830 4.706 3.974 3.422 2.635 1.976 1.884
0.0152 0.01508 6.00000 0.9500000477 2.4618122578    0.950  0.296  3.6548  3.691    0  0.000  0.538     0.00     0.00 -1 -3.68e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.031 6.891 5.689 4.585 3.869 3.331 2.559 1.915 1.825
0.0152 0.01508 6.00000 0.9786885381 2.4683425426    0.979  0.316  3.6571  3.693    0  0.000  0.538     0.00     0.00 -1 -3.79e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.980 6.782 5.608 4.515 3.809 3.278 2.514 1.879 1.790
0.0152 0.01508 6.00000 1.0000000000 2.4729156494    1.000  0.331  3.6589  3.694    0  0.000  0.538     0.00     0.00 -1 -3.88e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.941 6.698 5.546 4.461 3.762 3.237 2.480 1.851 1.763
0.0152 0.01508 6.00000 1.0174551010 2.4764974117    1.017  0.343  3.6602  3.695    0  0.000  0.538     0.00     0.00 -1 -3.85e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.912 6.636 5.500 4.421 3.727 3.207 2.455 1.830 1.743
0.0152 0.01508 6.00000 1.0499999523 2.4828116894    1.050  0.365  3.6627  3.697    0  0.000  0.538     0.00     0.00 -1 -3.79e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.858 6.523 5.415 4.348 3.664 3.150 2.407 1.791 1.705
0.0152 0.01508 6.00000 1.0586736202 2.4844193459    1.058  0.370  3.6633  3.697    0  0.000  0.538     0.00     0.00 -1 -3.77e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.844 6.496 5.395 4.330 3.649 3.136 2.396 1.781 1.696
0.0152 0.01508 6.00000 1.1000000238 2.4916803837    1.099  0.398  3.6663  3.698    0  0.000  0.538     0.00     0.00 -1 -3.68e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.775 6.357 5.290 4.239 3.569 3.064 2.335 1.730 1.647
0.0152 0.01508 6.00000 1.1499999762 2.4996678829    1.149  0.429  3.6696  3.700    0  0.000  0.538     0.00     0.00 -1 -3.54e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 3.698 6.202 5.173 4.138 3.481 2.985 2.267 1.674 1.593
